centerline_id	name	road_class	speed_limit	cans_out	cans_actual	cans_per	cansperout	cans_density	est_time	slope	length	backuponly	time_obs_format	time_obs_raw	sinuosityindex	time_obs_secs	predsecs	time_obs	difference	time_obs_days	time_obs_ex2
9628336552	9628336552.00000000_R	5	25	5	5	4.15	1	39.92	1.54159	4.08291	661.2933269	0	0:01:32	1.32	1.04407	92	82.53568	79.2	3.33568	0.001064815	1.533333333
9659976284	9659976284.00000000_R	5	25	5	2	1.66	1	11.98	0.89696	4.19864	881.2377128	0	0:01:26	1.26	1.00426	86	53.0651	75.6	-22.5349	0.00099537	1.433333333
9628333334	9628333334.00000000_R	5	25	5	7	5.81	0.714285714	42.18	2.13572	1.48351	876.3001492	0	0:02:11	2.11	1.07282	131	116.33795	126.6	-10.26205	0.001516204	2.183333333
9628342689	9628342689.00000000_R	5	25	5	4	3.32	1	58.58	1.15669	9.98473	360.5506027	0	0:01:27	1.27	1.00053	87	58.07076	76.2	-18.12924	0.001006944	1.45
9648811264	9648811264.00000000_R	5	20	5	6	4.98	0.833333333	44.02	1.89808	0.13896	719.6342212	0	0:01:40	1.4	1.00381	100	102.03159	84	18.03159	0.001157407	1.666666667
9659997390	9659997390.00000000_R	5	25	5	7	5.81	0.714285714	22.09	2.49805	6.63307	1673.432545	0	0:03:06	3.06	1.13944	186	147.53939	183.6	-36.06061	0.002152778	3.1
9649753360	9649753360.00000000_R	5	25	5	1	0.83	1	4.22	0.81717	7.34985	1251.725771	0	0:01:27	1.27	1.74108	87	54.87356	76.2	-21.32644	0.001006944	1.45
9647786113	9647786113.00000000_R	5	30	5	5	4.15	1	36.76	1.51304	2.36711	718.1765491	0	0:01:53	1.53	1.00014	113	80.24311	91.8	-11.55689	0.00130787	1.883333333
9628351633	9628351633.00000000_R	5	25	5	2	1.66	1	29.23	0.66061	-1.10725	361.2553808	0	0:01:20	1.2	1.0465	80	32.71189	72	-39.28811	0.000925926	1.333333333
9647871859	9647871859.00000000_R	5	25	5	7	5.81	0.714285714	47.4	2.09181	9.49086	779.6972051	0	0:02:00	2	1.00546	120	112.55671	120	-7.44329	0.001388889	2
9655016848	9655016848.00000000_R	5	25	5	10	8.3	0.5	36.75	3.13512	0	1436.854465	0	0:00:00	0	1.16588	0	176.3589	0	176.3589	0	0
9649030511	9649030511.00000000_R	4	25	5	8	6.64	0.625	74.87	2.24205	0.3545	564.1825109	0	0:01:25	1.25	1.00016	85	116.81423	75	41.81423	0.000983796	1.416666667
9740821103	9740821103.00000000_R	5	25	5	4	3.32	1	34.95	1.26744	11.75078	604.2152416	0	0:01:31	1.31	1.02889	91	67.6083	78.6	-10.9917	0.001053241	1.516666667
9750906487	9750906487.00000000_R	10	20	5	5	4.15	1	12.11	2.47934	-1.8353	2179.47731	0	0:02:32	2.32	1.22063	152	146.4797	139.2	7.2797	0.001759259	2.533333333
9668093489	9668093489.00000000_R	5	25	5	8	6.64	0.625	40.96	2.45429	0.09698	1031.125109	0	0:01:08	1.08	1.00545	68	135.09135	64.8	70.29135	0.000787037	1.133333333
9645628357	9645628357.00000000_R	5	20	5	5	4.15	1	31.62	1.71534	3.47371	834.8431111	0	0:01:57	1.57	1.10186	117	93.84789	94.2	-0.35211	0.001354167	1.95
9668099946	9668099946.00000000_R	5	25	5	10	8.3	0.5	54.39	2.92325	10.50735	970.7491465	0	0:02:18	2.18	1.00025	138	158.11456	130.8	27.31456	0.001597222	2.3
9648608088	9648608088.00000000_R	2	20	5	0	0	1	0	0.16088	-0.70634	283.1491071	0	0:01:15	1.15	1.00079	75	1.07253	69	-67.92747	0.000868056	1.25
9649036432	9649036432.00000000_R	5	25	5	4	3.32	1	42.48	1.2188	-1.00564	497.1970889	0	0:01:43	1.43	1.00027	103	63.41939	85.8	-22.38061	0.00119213	1.716666667
9740709944	9740709944.00000000_R	5	25	5	4	3.32	1	11.22	1.8485	-11.47385	1882.541481	0	0:05:49	5.49	1.51679	349	117.64469	329.4	-211.75531	0.004039352	5.816666667
9658004210	9658004210.00000000_R	4	30	5	4	3.32	1	52.57	1.14497	4.48078	401.7158069	0	0:01:28	1.28	1.02499	88	55.16295	76.8	-21.63705	0.001018519	1.466666667
9647940139	9647940139.00000000_R	5	25	5	4	3.32	1	39.75	1.2343	1.31754	531.2930573	0	0:01:32	1.32	1.00014	92	64.75398	79.2	-14.44602	0.001064815	1.533333333
9644391943	9644391943.00000000_R	5	25	5	7	5.81	0.714285714	73.35	1.96644	1.9846	503.8796528	0	0:01:54	1.54	1.00056	114	101.76063	92.4	9.36063	0.001319444	1.9
9649389695	9649389695.00000000_R	5	25	5	4	3.32	1	74.39	1.12184	3.52244	283.8941042	0	0:00:59	0.59	1.00004	59	55.07026	35.4	19.67026	0.00068287	0.983333333
9649498036	9649498036.00000000_R	5	25	5	11	9.13	0.454545455	62.56	3.15216	4.73974	928.3203919	0	0:01:31	1.31	1.00005	91	169.14703	78.6	90.54703	0.001053241	1.516666667
9647974554	9647974554.00000000_R	5	25	5	6	4.98	0.833333333	37.42	1.874	-5.19747	846.5660806	0	0:01:48	1.48	1.4706	108	102.48087	88.8	13.68087	0.00125	1.8
