centerline_id	name	road_class	speed_limit	cans_out	cans_actual	cans_per	cans_density	est_time	slope	length	backuponly	time_obs_format	time_obs_raw	sinuosityindex	time_obs	time_obs_days	time_obs_ex2	time_obs_ex22
9741415742	9741415742.00000000_L	5	25	7.47	9	7.47	8.75	4.70147	0.16578	5428.876909	0	0:00:00	0	3.05907	0	0	0	0
9656489062	9656489062.00000000_L	10	20	6.64	8	6.64	44.52	2.52473	0.94849	948.8726568	0	0:00:00	0	2.56654	0	0	0	0
9656095302	9656095302.00000000_L	5	30	6.64	8	6.64	42.13	2.36533	-0.59851	1002.494021	0	0:00:00	0	1.00007	0	0	0	0
9629415234	9629415234.00000000_L	10	20	6.64	8	6.64	75.32	2.30423	-2.49645	560.7958162	0	0:00:00	0	1.24065	0	0	0	0
9627234184	9627234184.00000000_L	7	20	6.64	8	6.64	33.8	2.69568	0.72015	1249.739666	0	0:00:00	0	1.57203	0	0	0	0
9638358646	9638358646.00000000_L	5	20	6.64	8	6.64	59.49	2.38902	1.69009	710.0217151	0	0:00:00	0	1.00051	0	0	0	0
9638310460	9638310460.00000000_L	10	20	6.64	8	6.64	84.86	2.26841	4.01805	497.7538328	0	0:00:00	0	1.00039	0	0	0	0
9668277457	9668277457.00000000_L	5	25	6.64	8	6.64	45.67	2.40604	4.10821	924.9777012	0	0:00:00	0	1.40823	0	0	0	0
9648250570	9648250570.00000000_L	5	25	6.64	8	6.64	46.9	2.39502	9.77002	900.7150249	0	0:00:00	0	1.0159	0	0	0	0
9627807157	9627807157.00000000_L	10	20	6.64	8	6.64	34.47	2.68184	3.50911	1225.38104	0	0:00:00	0	1.12923	0	0	0	0
9657496731	9657496731.00000000_L	10	20	6.64	8	6.64	56.13	2.41316	7.57475	752.5004018	0	0:00:00	0	1.00005	0	0	0	0
9638143061	9638143061.00000000_L	5	25	6.64	8	6.64	59.01	2.31095	-0.13971	715.7808845	0	0:00:00	0	1.32338	0	0	0	0
9669123856	9669123856.00000000_L	4	25	6.64	8	6.64	40.86	2.45548	-8.3194	1033.72895	0	0:00:00	0	1.13422	0	0	0	0
9638834536	9638834536.00000000_L	4	25	6.64	8	6.64	60.35	2.30377	-0.57146	699.9654241	0	0:00:00	0	1.01177	0	0	0	0
9740783625	9740783625.00000000_L	5	25	6.64	8	6.64	27.67	2.67942	-4.58591	1526.413519	0	0:00:00	0	1.01576	0	0	0	0
9638048316	9638048316.00000000_L	5	25	6.64	8	6.64	47.41	2.39054	2.4695	890.8699079	0	0:00:00	0	1.29261	0	0	0	0
9648938799	9648938799.00000000_L	5	25	6.64	8	6.64	30	2.62559	4.33246	1407.974751	0	0:00:00	0	1.96134	0	0	0	0
9627233808	9627233808.00000000_L	10	20	6.64	8	6.64	106.26	2.21146	5.78591	397.5177294	0	0:00:00	0	1.00212	0	0	0	0
9628671988	9628671988.00000000_L	5	25	6.64	8	6.64	56.26	2.32687	-3.59617	750.7983485	0	0:00:00	0	1.00344	0	0	0	0
9649737139	9649737139.00000000_L	10	20	6.64	8	6.64	27.2	2.86803	-12.10494	1553.084398	0	0:00:00	0	2.7275	0	0	0	0
9648142046	9648142046.00000000_L	4	25	6.64	8	6.64	59.22	2.30981	-2.66385	713.2530993	0	0:00:00	0	1.00048	0	0	0	0
9741513030	9741513030.00000000_L	4	25	6.64	8	6.64	29.47	2.63711	-1.67443	1433.325062	0	0:00:00	0	1.08545	0	0	0	0
9628586504	9628586504.00000000_L	5	25	6.64	8	6.64	40.15	2.46379	0.8555	1052.011013	0	0:00:00	0	1.53448	0	0	0	0
9659860014	9659860014.00000000_L	5	25	6.64	8	6.64	54.78	2.33608	-6.22522	771.0575264	0	0:00:00	0	1.00023	0	0	0	0
9628697332	9628697332.00000000_L	5	25	6.64	8	6.64	40.94	2.45461	-1.55066	1031.81777	0	0:00:00	0	1.43094	0	0	0	0
9639732226	9639732226.00000000_L	4	45	6.64	8	6.64	8.81	3.19684	0.12509	4796.525928	0	0:00:00	0	1.04034	0	0	0	0
9628355466	9628355466.00000000_L	4	25	6.64	8	6.64	35.41	2.52776	-1.92833	1192.741187	0	0:01:47	1.47	1.06015	88.2	0.001238426	107	1.783333333
9628226732	9628226732.00000000_L	5	25	6.64	8	6.64	28.5	2.65924	2.76652	1482.006088	0	0:00:00	0	1.8708	0	0	0	0
9649444073	9649444073.00000000_L	5	25	6.64	8	6.64	66.43	2.27465	-0.31451	635.9016057	0	0:00:00	0	1.00001	0	0	0	0
